,Context Length,Feature Name,Language Pair,Coefficient
197,5,yulesi,ruen,0.5523904964205100
198,5,5 most frequent word,ruen,0.33181775802928100
199,5,50 most frequent word,ruen,0.11603844556784500
200,5,positional token frequency,ruen,0.11237139862400600
201,5,contextual function word,ruen,0.09141253944905680
202,5,perplexity,ruen,0.05529506587686570
203,5,mdd,ruen,-0.05016460467974990
204,5,thresold PMI,ruen,-0.05201416289232470
205,5,average function words,ruen,-0.053250538839740500
206,5,type token ratio,ruen,-0.07088436653192910
207,5,pmi,ruen,-0.08963768746798860
208,5,single naming,ruen,-0.09242836750596280
209,5,mean multiple naming,ruen,-0.10040770635104400
210,5,repetition ratio,ruen,-0.13240428245320600
211,5,explicit naming,ruen,-0.16353990591046400
212,5,lexical density,ruen,-0.20835670615454600
213,5,average word length,ruen,-0.2464445197586410
214,5,10 most frequent word,ruen,-0.25099428013889000
215,5,pos perplexity,ruen,-0.2677436465552590
216,5,passive verb ratio,ruen,-0.3160152521772100
217,5,mean word rank,ruen,-0.3386736238957140
218,5,pronoun ratio,ruen,-0.3560880360475600
219,5,mtld,ruen,-0.6666878349048210
220,5,length ratio,ruen,-0.8957177266985180
221,5,average sentence length,ruen,-1.1769363702853300
222,5,length ratio,deen,0.3578546477038350
223,5,average word length,deen,0.13654794775997400
224,5,5 most frequent word,deen,0.13292861348309500
225,5,average sentence length,deen,0.08453869769852760
226,5,type token ratio,deen,0.08406523989806400
227,5,10 most frequent word,deen,-0.07662356581918100
228,5,average function words,deen,-0.08132287198527960
229,5,syllable ratio,deen,-0.08158032146352680
230,5,repetition ratio,deen,-0.10064134763607800
231,5,pos perplexity,deen,-0.10829393412464200
232,5,pronoun ratio,deen,-0.12611366233440900
233,5,lexical density,deen,-0.13303865150690900
234,5,mean word rank,deen,-0.13660243497245100
235,5,yulesi,deen,-0.14164042870959200
236,5,average sentence length,fien,0.762236189585704
237,5,contextual function word,fien,0.37094978462655400
238,5,length ratio,fien,0.2848465734590760
239,5,repetition ratio,fien,-0.37343255631169600
240,5,pronoun ratio,fien,-0.5718869166077670
241,5,syllable ratio,fien,-1.0246050653177200
242,5,average function words,enlt,0.2777962408261020
243,5,length ratio,enlt,-0.7572396388365190
244,5,average sentence length,kken,1.6562412518409200
245,5,5 most frequent word,kken,0.8435533398856470
