Context Length,Feature Name,Language Pair,Coefficient,Absolute coefficient,Rank
2,pos perplexity,lten,0.0439281248381288,0.044,18
5,5 most frequent word,lten,0.278684574127419,0.279,1
5,yulesi,lten,0.275025809034704,0.275,2
5,length ratio,lten,-0.208111991555451,0.208,3
5,10 most frequent word,lten,-0.188317199021473,0.188,4
5,mtld,lten,-0.17857554930694,0.179,5
10,yulesi,lten,1.27428437578261,1.274,1
10,contextual function word,lten,0.928438363771634,0.928,2
10,5 most frequent word,lten,0.78591066057796,0.786,3
10,length ratio,lten,-0.782041439599132,0.782,4
10,syllable ratio,lten,0.66655445256059,0.667,5
10,mean word rank,lten,-0.656774245153033,0.657,6
10,average function words,lten,-0.63781260654682,0.638,7
10,pronoun ratio,lten,-0.635446716914684,0.635,8
10,type token ratio,lten,0.626873248519327,0.627,9
10,lexical density,lten,-0.564902903474122,0.565,10
10,10 most frequent word,lten,-0.554418871537361,0.554,11
10,average word length,lten,0.485132714421703,0.485,12
10,average sentence length,lten,-0.399485155814383,0.399,13
10,mtld,lten,-0.321930002695231,0.322,14
10,explicit naming,lten,0.30980454434527,0.31,15
10,50 most frequent word,lten,0.270986285786871,0.271,16
10,pos perplexity,lten,-0.24674347677803400,0.247,17
10,mean multiple naming,lten,0.227672549347962,0.228,18
10,positional token frequency,lten,0.180747131407288,0.181,19
10,mdd,lten,-0.132161962068637,0.132,20
10,perplexity,lten,0.104022174319592,0.104,21
10,pmi,lten,0.0988034704340544,0.099,22
10,thresold PMI,lten,0.0976470872871601,0.098,23
10,passive verb ratio,lten,-0.0493026840327946,0.049,24
10,repetition ratio,lten,-0.0166675431840727,0.017,25
10,single naming,lten,-0.013480408631018,0.013,26
2,length ratio,ruen,-0.659946660551026,0.66,1
2,average sentence length,ruen,-0.448461777203092,0.448,2
2,mtld,ruen,-0.409956905975573,0.41,3
2,mean word rank,ruen,-0.389843631808313,0.39,4
2,pronoun ratio,ruen,-0.344315171535885,0.344,5
2,syllable ratio,ruen,0.269015269597524,0.269,6
2,pos perplexity,ruen,-0.261973947615638,0.262,7
2,lexical density,ruen,-0.258472836297215,0.258,8
2,passive verb ratio,ruen,-0.251250760398957,0.251,9
2,yulesi,ruen,0.190507384256944,0.191,10
5,average sentence length,ruen,-1.17693637028533,1.177,1
5,syllable ratio,ruen,1.06731318505098,1.067,2
5,length ratio,ruen,-0.895717726698518,0.896,3
5,mtld,ruen,-0.666687834904821,0.667,4
5,yulesi,ruen,0.55239049642051,0.552,5
5,pronoun ratio,ruen,-0.35608803604756,0.356,6
5,mean word rank,ruen,-0.338673623895714,0.339,7
5,5 most frequent word,ruen,0.331817758029281,0.332,8
5,passive verb ratio,ruen,-0.31601525217721,0.316,9
5,pos perplexity,ruen,-0.267743646555259,0.268,10
5,10 most frequent word,ruen,-0.25099428013889,0.251,11
5,average word length,ruen,-0.246444519758641,0.246,12
5,lexical density,ruen,-0.208356706154546,0.208,13
5,explicit naming,ruen,-0.163539905910464,0.164,14
5,repetition ratio,ruen,-0.132404282453206,0.132,15
5,50 most frequent word,ruen,0.116038445567845,0.116,16
5,positional token frequency,ruen,0.112371398624006,0.112,17
5,mean multiple naming,ruen,-0.100407706351044,0.1,18
5,single naming,ruen,-0.0924283675059628,0.092,19
5,contextual function word,ruen,0.0914125394490568,0.091,20
5,pmi,ruen,-0.0896376874679886,0.09,21
5,type token ratio,ruen,-0.0708843665319291,0.071,22
5,perplexity,ruen,0.0552950658768657,0.055,23
5,average function words,ruen,-0.05325053883974050,0.053,24
5,thresold PMI,ruen,-0.0520141628923247,0.052,25
5,mdd,ruen,-0.0501646046797499,0.05,26
10,average sentence length,ruen,-0.887710480134236,0.888,1
10,syllable ratio,ruen,0.738496498041199,0.738,2
10,length ratio,ruen,-0.52609120218212,0.526,3
10,pronoun ratio,ruen,-0.437257937333478,0.437,4
10,average word length,ruen,-0.308063726488257,0.308,5
10,yulesi,ruen,0.293513873668789,0.294,6
10,mtld,ruen,-0.223856742044023,0.224,7
10,passive verb ratio,ruen,-0.217429902473945,0.217,8
10,lexical density,ruen,-0.210910860914656,0.211,9
10,type token ratio,ruen,-0.164362290702258,0.164,10
10,mean word rank,ruen,-0.158409940905129,0.158,11
10,5 most frequent word,ruen,0.15239946752514,0.152,12
10,single naming,ruen,-0.13667730852202,0.137,13
10,average function words,ruen,-0.119034527857067,0.119,14
10,pmi,ruen,-0.11028776409841,0.11,15
10,positional token frequency,ruen,0.097897021981395,0.098,16
2,average sentence length,zhen,0.860987374909058,0.861,1
2,length ratio,zhen,-0.547645159806165,0.548,2
2,syllable ratio,zhen,-0.530844379839542,0.531,3
2,5 most frequent word,zhen,0.475867207355704,0.476,4
2,pmi,zhen,-0.44132304824466,0.441,5
2,mdd,zhen,-0.403486636642172,0.403,6
2,mtld,zhen,-0.302398018943265,0.302,7
2,average function words,zhen,0.233525085789695,0.234,8
2,10 most frequent word,zhen,-0.181394405412249,0.181,9
2,positional token frequency,zhen,-0.142353728658317,0.142,10
2,yulesi,zhen,0.138943747975014,0.139,11
2,explicit naming,zhen,-0.129141165636981,0.129,12
2,50 most frequent word,zhen,-0.127705739939468,0.128,13
2,mean word rank,zhen,-0.124520276470797,0.125,14
2,mean multiple naming,zhen,-0.105966609369043,0.106,15
2,thresold PMI,zhen,0.074561009589485,0.075,16
2,pronoun ratio,zhen,-0.0733810658084712,0.073,17
2,perplexity,zhen,0.0570690297346476,0.057,18
2,average word length,zhen,0.0559181408064194,0.056,19
2,type token ratio,zhen,0.0475153403402583,0.048,20
2,pos perplexity,zhen,-0.041404295929825700,0.041,21
2,contextual function word,zhen,0.036609565194132100,0.037,22
2,lexical density,zhen,-0.0351533295748686,0.035,23
2,repetition ratio,zhen,0.0249141663454294,0.025,24
2,single naming,zhen,-0.0218065707146432,0.022,25
2,passive verb ratio,zhen,-0.0173083153425587,0.017,26
5,average sentence length,zhen,1.505815232574,1.506,1
5,syllable ratio,zhen,-1.34885263689076,1.349,2
5,length ratio,zhen,-0.765011770844464,0.765,3
5,5 most frequent word,zhen,0.730622764978994,0.731,4
5,pmi,zhen,-0.493340807386753,0.493,5
5,mdd,zhen,-0.321116308298236,0.321,6
5,10 most frequent word,zhen,-0.304235784378297,0.304,7
5,average word length,zhen,0.253716814049116,0.254,8
5,positional token frequency,zhen,-0.251983674142686,0.252,9
5,average function words,zhen,0.22900201685256200,0.229,10
5,mean word rank,zhen,-0.221486723603678,0.221,11
5,mtld,zhen,-0.218995078266166,0.219,12
5,pronoun ratio,zhen,-0.177169942554277,0.177,13
5,50 most frequent word,zhen,-0.136947037580654,0.137,14
5,perplexity,zhen,-0.107543801343756,0.108,15
5,contextual function word,zhen,0.10849711309772,0.108,16
5,explicit naming,zhen,-0.0987165907330456,0.099,17
5,repetition ratio,zhen,-0.0806340638331576,0.081,18
5,passive verb ratio,zhen,0.0566158966549757,0.057,19
10,average sentence length,zhen,0.90202407195314,0.902,1
10,syllable ratio,zhen,-0.81613679140926,0.816,2
10,length ratio,zhen,-0.40298335970317900,0.403,3
10,5 most frequent word,zhen,0.288030798782033,0.288,4
10,pmi,zhen,-0.245381594339881,0.245,5
10,average word length,zhen,0.214185055285019,0.214,6
10,pronoun ratio,zhen,-0.197901504766375,0.198,7
10,10 most frequent word,zhen,-0.166979978045339,0.167,8
10,mean word rank,zhen,-0.165544552929091,0.166,9
10,mtld,zhen,-0.165549179365785,0.166,10
10,mdd,zhen,-0.163519657894926,0.164,11
10,average function words,zhen,0.133316340471771,0.133,12
10,positional token frequency,zhen,-0.1323980453933,0.132,13
10,repetition ratio,zhen,-0.0901887847937164,0.09,14
10,50 most frequent word,zhen,0.0777223235726723,0.078,15
10,perplexity,zhen,-0.0541111923601941,0.054,16
